net_pnl,max_monthly_cap,avg_monthly_cap_req,final_price,min_price,max_price
-31007.07667096695,3013.0592270750494,508.32837486925325,414673.5148610437,53777.52800810227,424323.49084372836
-31798.546500876026,4228.4634669839725,521.2879086020944,350329.62472699577,45606.94551050708,436079.5990714482
-27660.90291115838,2835.6639286106947,453.457425301381,467947.3534419019,26952.002130337667,550247.6722636141
-1875.934029660857,364.5212808045135,30.75301689038634,489435.265263964,92163.0308999819,966201.6879733691
-24764.19474370108,3275.990311542897,439.7429561733051,89565.4481739913,30001.942839219828,271294.5628413783
17503.022148426702,2172.7860000317814,256.52592505612876,38487.002456849375,8481.741635112487,108421.4421177689
-21290.212121323566,4605.4316610596325,350.3931575096745,203513.9440354692,31936.060153108847,278613.41599428485
68572.6181667338,1593.9428933032796,82.37586595918206,7432.785058895838,3795.409923427424,163210.76706812324
-19656.44897008992,5413.29773371113,984.3752744007621,44015.75236272496,34559.1086202199,203953.8092112466
-19902.013324773223,4939.161363917876,326.2625135208726,13509779.129767613,65897.50818686456,15576556.633326912
-17123.189626169744,2992.2633177049793,280.7080274058983,410693.92776025657,64378.919392752905,550667.8775444347
-42382.940633359234,4354.931194836761,696.9134574184749,166769.23633012018,26955.463506837266,192434.59564924793
-6505.420696180385,1383.2241973672008,107.09347138227544,194068.4455628605,60751.234585989194,933042.8219502453
-30653.72574125376,5026.624558379444,502.520276789415,269362.11838283914,34050.01284911619,371383.44386317366
-8948.663458399538,4414.162972081955,147.6795343621009,110900.39885057301,81685.48566619288,519680.9702768637
-30138.73422830393,5087.2643418484295,494.4445557156624,242756.00531208815,64122.891402158806,372177.52905916545
-921.6301244040792,364.5212808045135,15.109326461373001,439059.4071771406,96310.03788954069,982106.0886089308
-1890.072572773523,448.15764893070263,30.984796274975796,6138356.951746029,97689.60477215305,6778632.293042613
-6469.839097208954,1799.0899980042595,106.06293602796742,714163.3923006746,73479.37748258948,1005887.1397197819
35398.625850724384,4946.326189802174,298.14135472004904,29504.952434879473,9019.241153846693,220015.74096586433
-63199.203953720455,5681.7617081892895,1044.5342933978015,120237.99236717893,62960.53321366989,291525.40829910507
-24949.236135125837,5455.11026890669,409.0108955104006,218305.34895781183,28532.403698147176,270417.79721267446
60178.67908971506,3004.492121711097,238.79657758906384,5573.1615904715545,2689.0338280980977,130192.99896315392
-5001.582041170041,5146.575094628119,874.8319482759624,26912.825949427286,15256.60879937509,251853.68946394676
-3612.3084806719344,1680.0785722938344,59.21817181429402,3009328.3462032313,83965.4884635891,3724856.759191144
-1841.9446435568739,953.7008684865141,30.195813828801217,3217501.254762973,94624.55692912854,3516928.1897578947
-5822.044861832899,2208.4075186743285,95.44335839070324,5005534.885448361,59093.64967810887,7645618.061373142
-661.0329539406378,364.5212808045135,10.83660580230554,4771573.047705556,100000.0,7554464.218457325
-17600.266264753765,3352.540689440262,498.554509340497,44651.47298152602,19375.90393863507,202665.40908442214
-13250.961352706834,3256.841663591731,217.22887491788518,964426.6000017814,62245.50816130886,1060803.1034375506
-3599.2514683664035,2848.4358491461826,59.00412243223612,17809319.917494938,79117.27278373207,22437554.62612618
-10650.334125690715,2353.448505417986,186.23221590386797,89106.32882603686,12510.009834717283,185983.9990896938
-1193.556944480673,364.5212808045135,19.566507286568417,1114404.5887362794,98775.50922930763,1226195.5949831347
-29929.39394735839,5511.308321657038,927.2713956113911,45003.77556008812,36854.664330328254,238380.4526471326
-1140.7859040659453,364.5212808045135,18.701408263376152,4929246.910723229,93898.83953362174,6393766.543864636
-13103.887685010832,3635.715600487325,214.81783156223517,514842.205944345,66203.60844011062,793913.261231911
40513.80600633722,1951.5997433329394,252.4185118640924,18254.23480192139,13128.535636247505,320427.6800844827
23268.530601319555,5251.88581320081,444.19181438868895,26669.659690352168,21773.681869168475,120572.94414082944
-34899.80522653351,4190.292777435341,572.9316226844207,164570.07328531117,40616.645005994185,449921.7697998697
-14597.353804664335,4798.1590351668565,239.3008821243803,501374.9880990317,65629.68511792531,1341109.6567104296
3835.781169264348,4714.085790199053,586.744844827876,32951.31513735687,22027.708640076882,151131.0669314988
-4813.41535817329,2137.0987319785127,78.90845509436488,386784.53997726965,75925.66312480599,517496.4730750714
-31268.08730272179,5789.917555004751,513.0390383573834,149651.55493202532,27918.93769522089,242357.78337842986
-15912.648448477585,3076.291530296381,260.8630893193047,1968834.045096524,63213.33494814634,3287391.2378075942
-12673.934361558127,4230.200944047803,207.77000409279597,382870.4813440115,39504.41459369273,965347.2660594559
37403.90768660365,4769.352475974469,488.5828331214565,16095.964744161187,11157.654663155345,221082.82544831542
