date,expiry,instrument,strike,option_type,ttm_days,iv,price
2025-06-05,2025-06-27,BTC-27JUN25-120000-C,120000.000000,call,22.333333,46.230000,0.003900
2025-06-05,2025-06-27,BTC-27JUN25-120000-P,120000.000000,put,22.333333,42.650000,0.161000
2025-06-05,2025-06-27,BTC-27JUN25-125000-C,125000.000000,call,22.333333,47.690000,0.001900
2025-06-05,2025-06-27,BTC-27JUN25-125000-P,125000.000000,put,22.333333,45.630000,0.188000
2025-06-05,2025-06-27,BTC-27JUN25-130000-C,130000.000000,call,22.333333,50.540000,0.001100
2025-06-05,2025-06-27,BTC-27JUN25-135000-C,135000.000000,call,22.333333,50.340000,0.001000
2025-06-05,2025-06-27,BTC-27JUN25-140000-C,140000.000000,call,22.333333,53.700000,0.000900
2025-06-05,2025-06-27,BTC-27JUN25-140000-P,140000.000000,put,22.333333,57.570000,0.328000
2025-06-05,2025-06-27,BTC-27JUN25-150000-C,150000.000000,call,22.333333,59.390000,0.000400
2025-06-05,2025-06-27,BTC-27JUN25-150000-P,150000.000000,put,22.333333,66.930000,0.422500
2025-06-05,2025-06-27,BTC-27JUN25-160000-C,160000.000000,call,22.333333,66.840000,0.000300
2025-06-05,2025-06-27,BTC-27JUN25-170000-C,170000.000000,call,22.333333,71.580000,0.000200
2025-06-05,2025-06-27,BTC-27JUN25-170000-P,170000.000000,put,22.333333,93.060000,0.642500
2025-06-05,2025-06-27,BTC-27JUN25-180000-C,180000.000000,call,22.333333,78.710000,0.000100
2025-06-05,2025-06-27,BTC-27JUN25-190000-C,190000.000000,call,22.333333,81.300000,0.000100
2025-06-05,2025-06-27,BTC-27JUN25-200000-C,200000.000000,call,22.333333,87.350000,0.000100
2025-06-05,2025-06-27,BTC-27JUN25-200000-P,200000.000000,put,22.333333,0.000000,0.898000
2025-06-05,2025-06-27,BTC-27JUN25-220000-C,220000.000000,call,22.333333,99.030000,0.000100
2025-06-05,2025-06-27,BTC-27JUN25-240000-C,240000.000000,call,22.333333,108.920000,0.000100
2025-06-05,2025-06-27,BTC-27JUN25-240000-P,240000.000000,put,22.333333,142.930000,1.318000
2025-06-05,2025-06-27,BTC-27JUN25-250000-C,250000.000000,call,22.333333,113.660000,0.000100
2025-06-05,2025-06-27,BTC-27JUN25-260000-C,260000.000000,call,22.333333,117.340000,0.000100
2025-06-05,2025-06-27,BTC-27JUN25-280000-C,280000.000000,call,22.333333,125.810000,0.000100
2025-06-05,2025-06-27,BTC-27JUN25-300000-C,300000.000000,call,22.333333,133.290000,0.000100
2025-06-05,2025-06-27,BTC-27JUN25-400000-P,400000.000000,put,22.333333,209.590000,2.930500
2025-06-04,2025-06-27,BTC-27JUN25-45000-P,45000.000000,put,23.333333,116.440000,0.000100
2025-06-04,2025-06-27,BTC-27JUN25-50000-P,50000.000000,put,23.333333,103.360000,0.000100
2025-06-04,2025-06-27,BTC-27JUN25-55000-P,55000.000000,put,23.333333,97.230000,0.000200
2025-06-04,2025-06-27,BTC-27JUN25-60000-C,60000.000000,call,23.333333,0.000000,0.428500
2025-06-04,2025-06-27,BTC-27JUN25-65000-C,65000.000000,call,23.333333,0.000000,0.381000
2025-06-04,2025-06-27,BTC-27JUN25-65000-P,65000.000000,put,23.333333,77.220000,0.000300
2025-06-04,2025-06-27,BTC-27JUN25-70000-C,70000.000000,call,23.333333,57.140000,0.338000
2025-06-04,2025-06-27,BTC-27JUN25-70000-P,70000.000000,put,23.333333,71.600000,0.000500
2025-06-04,2025-06-27,BTC-27JUN25-75000-C,75000.000000,call,23.333333,66.380000,0.287000
2025-06-04,2025-06-27,BTC-27JUN25-75000-P,75000.000000,put,23.333333,61.810000,0.000600
